n,g,m,r,efficiency
150,5,0.9800000190734864,8,0.352889
150,2,0.9800000190734864,8,0.339911
150,4,0.9800000190734864,8,0.356044
150,2,0.9800000190734864,8,0.334267
150,3,0.9800000190734864,8,0.351511
150,6,0.9800000190734864,8,0.336978
150,2,0.9800000190734864,8,0.350533
150,2,0.9800000190734864,8,0.342489
150,2,0.9800000190734864,8,0.343644
150,2,0.9800000190734864,8,0.344578
150,5,0.9800000190734864,8,0.348756
150,2,0.9800000190734864,8,0.354978
150,5,0.9800000190734864,8,0.355111
150,5,0.9800000190734864,8,0.3504
150,2,0.9800000190734864,8,0.354267
150,6,0.9800000190734864,8,0.344667
150,6,0.9800000190734864,8,0.338844
150,4,0.9800000190734864,8,0.360533
150,6,0.9800000190734864,8,0.348533
150,4,0.9800000190734864,8,0.362978
150,5,0.9800000190734864,8,0.347822
150,5,0.9800000190734864,8,0.348311
150,6,0.9800000190734864,8,0.333556
150,5,0.9800000190734864,8,0.357378
150,4,0.9800000190734864,8,0.364
150,3,0.9800000190734864,8,0.361644
150,4,0.9800000190734864,8,0.358356
150,6,0.9800000190734864,8,0.341689
150,2,0.9800000190734864,8,0.352889
150,5,0.9800000190734864,8,0.345644
150,3,0.9800000190734864,8,0.357244
150,4,0.9800000190734864,8,0.356844
150,2,0.9800000190734864,8,0.350222
150,3,0.9800000190734864,8,0.3704
150,3,0.9800000190734864,8,0.360622
150,3,0.9800000190734864,8,0.367733
150,6,0.9800000190734864,8,0.337956
150,5,0.9800000190734864,8,0.348356
150,3,0.9800000190734864,8,0.364667
150,4,0.9800000190734864,8,0.362578
150,3,0.9800000190734864,8,0.366933
150,4,0.9800000190734864,8,0.358489
150,5,0.9800000190734864,8,0.354
150,5,0.9800000190734864,8,0.357422
150,6,0.9800000190734864,8,0.343333
150,4,0.9800000190734864,8,0.357644
150,3,0.9800000190734864,8,0.367067
150,3,0.9800000190734864,8,0.366356
150,3,0.9800000190734864,8,0.364578
150,6,0.9800000190734864,8,0.340933
150,4,0.9800000190734864,8,0.369244
150,4,0.9800000190734864,8,0.358933
150,4,0.9800000190734864,8,0.356844
150,3,0.9800000190734864,8,0.369156
150,4,0.9800000190734864,8,0.356622
150,3,0.9800000190734864,8,0.357156
150,4,0.9800000190734864,8,0.354044
150,6,0.9800000190734864,8,0.341467
150,5,0.9800000190734864,8,0.347956
150,5,0.9800000190734864,8,0.348533
150,4,0.9800000190734864,8,0.357244
150,5,0.9800000190734864,8,0.351956
150,4,0.9800000190734864,8,0.363556
150,4,0.9800000190734864,8,0.351733
150,5,0.9800000190734864,8,0.342356
150,5,0.9800000190734864,8,0.352578
150,3,0.9800000190734864,8,0.354489
150,6,0.9800000190734864,8,0.343644
150,2,0.9800000190734864,8,0.351511
150,5,0.9800000190734864,8,0.348044
150,5,0.9800000190734864,8,0.349778
150,6,0.9800000190734864,8,0.342889
150,6,0.9800000190734864,8,0.351067
150,5,0.9800000190734864,8,0.3544
150,5,0.9800000190734864,8,0.352044
150,4,0.9800000190734864,8,0.360711
150,6,0.9800000190734864,8,0.341511
150,4,0.9800000190734864,8,0.354089
150,4,0.9800000190734864,8,0.3584
150,6,0.9800000190734864,8,0.336933
150,4,0.9800000190734864,8,0.360222
150,5,0.9800000190734864,8,0.354089
150,6,0.9800000190734864,8,0.343111
150,3,0.9800000190734864,8,0.362756
150,2,0.9800000190734864,8,0.333867
150,5,0.9800000190734864,8,0.3492
150,4,0.9800000190734864,8,0.3568
150,5,0.9800000190734864,8,0.358667
150,3,0.9800000190734864,8,0.354089
150,3,0.9800000190734864,8,0.365156
150,4,0.9800000190734864,8,0.360978
150,2,0.9800000190734864,8,0.336844
150,2,0.9800000190734864,8,0.363067
150,3,0.9800000190734864,8,0.3624
150,5,0.9800000190734864,8,0.349378
150,5,0.9800000190734864,8,0.349378
150,6,0.9800000190734864,8,0.3444
150,3,0.9800000190734864,8,0.348444
150,5,0.9800000190734864,8,0.346044
150,5,0.9800000190734864,8,0.349822
150,6,0.9800000190734864,8,0.341156
150,4,0.9800000190734864,8,0.355467
150,2,0.9800000190734864,8,0.344978
150,6,0.9800000190734864,8,0.343244
150,2,0.9800000190734864,8,0.344578
150,6,0.9800000190734864,8,0.346533
150,4,0.9800000190734864,8,0.363511
150,2,0.9800000190734864,8,0.360489
150,6,0.9800000190734864,8,0.348489
150,2,0.9800000190734864,8,0.3524
150,4,0.9800000190734864,8,0.352978
150,5,0.9800000190734864,8,0.348844
150,6,0.9800000190734864,8,0.3448
150,6,0.9800000190734864,8,0.339867
150,2,0.9800000190734864,8,0.347111
150,6,0.9800000190734864,8,0.339244
150,4,0.9800000190734864,8,0.365067
150,4,0.9800000190734864,8,0.357733
150,5,0.9800000190734864,8,0.357556
150,6,0.9800000190734864,8,0.344933
