trial_id,gust_intensity,trial_index_within_gust_level,efficiency,voxels_covered,final_step_coverage_rate,mean_coverage_rate_across_steps,std_coverage_rate_across_steps
139,4,38,0.08208888888888889,1847,0.08208888888888889,0.12408082289207203,0.03139191083979456
140,4,39,0.08271111111111111,1861,0.08271111111111111,0.11872763846247723,0.02639375634927995
141,4,40,0.08404444444444445,1891,0.08404444444444445,0.1256689866670842,0.03344675652313537
142,4,41,0.08253333333333333,1857,0.08253333333333333,0.12549094100239974,0.030392363207480816
143,4,42,0.0828,1863,0.0828,0.1228729776565965,0.03183466931081721
144,4,43,0.08231111111111111,1852,0.08231111111111111,0.1268479814825356,0.03605132032160116
145,4,44,0.08337777777777777,1876,0.08337777777777777,0.1270692057245698,0.03365440301879621
146,4,45,0.08177777777777778,1840,0.08177777777777778,0.12271603710913027,0.032407667704444254
147,4,46,0.08057777777777778,1813,0.08057777777777778,0.12286774679454524,0.03590675342006704
148,4,47,0.08226666666666667,1851,0.08226666666666667,0.12221379116768205,0.03306234419521352
149,4,48,0.08097777777777777,1822,0.08097777777777777,0.12088696246612575,0.03304440026705864
150,4,49,0.08146666666666667,1833,0.08146666666666667,0.12635835879819718,0.03965778243334973
151,5,0,0.08133333333333333,1830,0.08133333333333333,0.11776940480692029,0.030850267028258892
152,5,1,0.0836,1881,0.0836,0.12730527270965397,0.03840611569255884
153,5,2,0.08328888888888888,1874,0.08328888888888888,0.12865139465158773,0.03712724191496032
154,5,3,0.08124444444444444,1828,0.08124444444444444,0.11726051093555746,0.03102010129156586
155,5,4,0.0812,1827,0.0812,0.12341858651892763,0.03434199680756001
156,5,5,0.0824,1854,0.0824,0.12423121354782668,0.036540129232498005
157,5,6,0.08368888888888888,1883,0.08368888888888888,0.13171207256298742,0.0395857313727707
158,5,7,0.08071111111111111,1816,0.08071111111111111,0.12070805861741346,0.032827728217198975
159,5,8,0.08275555555555555,1862,0.08275555555555555,0.11698562396440648,0.024317137594178685
160,5,9,0.08164444444444445,1837,0.08164444444444445,0.12259171355855382,0.035196530140629456
161,5,10,0.08248888888888889,1856,0.08248888888888889,0.11972956339828299,0.02915082030459236
162,5,11,0.0832,1872,0.0832,0.12979303171855502,0.03836916616535881
163,5,12,0.08284444444444444,1864,0.08284444444444444,0.12452633669350645,0.03408457542521091
164,5,13,0.08297777777777778,1867,0.08297777777777778,0.13090147839927288,0.04195768838749709
165,5,14,0.08124444444444444,1828,0.08124444444444444,0.12168713857397274,0.03348226820129907
166,5,15,0.08142222222222223,1832,0.08142222222222223,0.12205837918465837,0.03165773589440269
167,5,16,0.082,1845,0.082,0.1298975092685402,0.03943579106532912
168,5,17,0.08244444444444445,1855,0.08244444444444445,0.12439228090031373,0.03450863783281586
169,5,18,0.0816,1836,0.0816,0.12528092309766634,0.03741762210179113
170,5,19,0.0824,1854,0.0824,0.12712191635392264,0.03372575024696032
171,5,20,0.08088888888888889,1820,0.08088888888888889,0.12061128923194808,0.03234329120371437
172,5,21,0.08248888888888889,1856,0.08248888888888889,0.12492591266782169,0.03804761900855329
173,5,22,0.08311111111111111,1870,0.08311111111111111,0.12827631984585758,0.0374160674932531
174,5,23,0.08115555555555555,1826,0.08115555555555555,0.11891040881924535,0.030076183042569142
175,5,24,0.08208888888888889,1847,0.08208888888888889,0.11861324304230868,0.029042429616958215
176,5,25,0.08377777777777778,1885,0.08377777777777778,0.12336902451492923,0.03145558169067184
177,5,26,0.08035555555555556,1808,0.08035555555555556,0.11384386037889231,0.027157562826616844
178,5,27,0.08288888888888889,1865,0.08288888888888889,0.1263453079595631,0.03590534327445103
179,5,28,0.08222222222222222,1850,0.08222222222222222,0.12350003476567908,0.03225368180717331
180,5,29,0.08186666666666667,1842,0.08186666666666667,0.1172078290758814,0.03012827143071919
181,5,30,0.08155555555555556,1835,0.08155555555555556,0.12292885062670005,0.032198339187921816
182,5,31,0.08297777777777778,1867,0.08297777777777778,0.1269276687596936,0.037376270046574865
183,5,32,0.08213333333333334,1848,0.08213333333333334,0.12048845533886705,0.03142064716258806
184,5,33,0.08275555555555555,1862,0.08275555555555555,0.13040397642045595,0.038993195773126085
185,5,34,0.08253333333333333,1857,0.08253333333333333,0.1249229358662867,0.03484116097063313
186,5,35,0.08302222222222222,1868,0.08302222222222222,0.12874727494841667,0.03665743466204562
